iter	Logloss
0	0.6250161705
5	0.450340747
10	0.3980768082
15	0.3779305983
20	0.3689561881
25	0.3646269901
30	0.3622072384
35	0.360684699
40	0.3596263335
45	0.3589704018
50	0.3582955109
55	0.3578554855
60	0.3573021951
65	0.3568345889
70	0.3565434179
75	0.3562248704
80	0.3559998114
85	0.3556760337
90	0.3554850523
95	0.3552168039
100	0.3549381362
105	0.3547135675
110	0.3545489819
115	0.3542840024
120	0.3540752467
125	0.3537389658
130	0.353617447
135	0.3534350871
140	0.3532787553
145	0.3531492279
150	0.3529238829
155	0.3528323965
160	0.3526756561
165	0.352534034
170	0.3523759452
175	0.3522619039
180	0.3521329894
185	0.352006976
190	0.3518778164
195	0.3517215254
200	0.3515799851
205	0.3514186274
210	0.3512531837
215	0.3511204284
220	0.3509901246
225	0.3508861758
230	0.3507648205
235	0.3506706782
240	0.3505366561
245	0.3503095133
250	0.3501347126
255	0.3499807507
260	0.3498953933
265	0.3497761628
270	0.3496428762
275	0.3495068929
280	0.3493459847
285	0.3491821346
290	0.3491025385
295	0.3490064349
300	0.3489087786
305	0.3488367009
310	0.3487531414
315	0.348590558
320	0.3484724715
325	0.348385112
330	0.3482885589
335	0.3481733327
340	0.3480778828
345	0.3479730351
350	0.3478791379
355	0.3477602342
360	0.3476602898
365	0.3475235709
370	0.3474286114
375	0.3472747312
380	0.3471885975
385	0.3471171736
390	0.3470202528
395	0.3468755253
400	0.3467784411
405	0.3467065268
410	0.3466137737
415	0.34649487
420	0.346404446
425	0.3463188026
430	0.3461894387
435	0.3460845501
440	0.3459770464
445	0.3458829041
450	0.3458008156
455	0.3456814625
460	0.3455797201
465	0.3454996338
470	0.3454040205
475	0.3453412998
480	0.3452690178
485	0.3451836605
490	0.345093645
495	0.3450335803
500	0.3449260358
505	0.3448276031
510	0.3447485791
515	0.3446737638
520	0.3445887333
525	0.3444833544
530	0.3444030229
535	0.3443338463
540	0.3442563342
545	0.3441684843
550	0.3440808388
555	0.3439701072
560	0.3439222597
565	0.3438592121
570	0.3437937947
575	0.3437181621
580	0.3436423252
585	0.3435748239
590	0.3434965763
595	0.3434311179
600	0.3433597757
605	0.3433006099
610	0.3432249365
615	0.34314342
620	0.3430711789
625	0.3429845549
630	0.3428844469
635	0.342809795
640	0.3427408636
645	0.3426838429
650	0.3425953597
655	0.3425188691
660	0.3424736367
665	0.3423955321
670	0.3423320759
675	0.3422825327
680	0.342208984
685	0.3421393171
690	0.3420645834
695	0.3420067864
700	0.3419268227
705	0.3418561342
710	0.341785221
715	0.3417389058
720	0.3416679313
725	0.3416151193
730	0.3415644932
