iter	Passed	Remaining
0	298	2088431
1	439	1537852
2	552	1289000
3	686	1200234
4	799	1118985
5	933	1087892
6	1044	1043239
7	1171	1023663
8	1293	1004715
9	1393	974071
10	1492	948208
11	1617	941713
12	1700	913729
13	1785	891139
14	1868	869982
15	1955	853547
16	2033	835190
17	2114	820330
18	2187	803752
19	2285	797572
20	2366	786425
21	2443	775010
22	2523	765484
23	2621	762035
24	2708	755757
25	2792	748901
26	2874	742399
27	2965	738401
28	3060	735714
29	3134	728192
30	3216	723050
31	3285	715476
32	3378	713291
33	3466	710249
34	3559	708252
35	3672	710404
36	3752	706116
37	3825	700797
38	3918	699372
39	4007	697243
40	4087	693708
41	4169	690727
42	4261	689473
43	4534	716924
44	4621	714338
45	4718	713239
46	4847	717175
47	4941	715700
48	5016	711636
49	5094	708142
50	5174	704998
51	5260	702898
52	5336	699439
53	5440	699774
54	5536	699107
55	5632	698384
56	5721	696897
57	5800	694206
58	5896	693679
59	5983	692119
60	6060	689366
61	6136	686666
62	6227	685696
63	6307	683566
64	6387	681454
65	6463	679067
66	6539	676647
67	6623	675238
68	6717	674778
69	6804	673678
70	6879	671344
71	6959	669617
72	7046	668626
73	7121	666580
74	7201	664908
75	7274	662752
76	7356	661403
77	7429	659325
78	7514	658309
79	7584	656043
80	7672	655391
81	7778	656198
82	7869	655790
83	7940	653798
84	8024	652823
85	8122	653043
86	8205	652002
87	8289	651128
88	8374	650269
89	8448	648684
90	8536	648120
91	8614	646805
92	8711	646992
93	8785	645468
94	8882	645599
95	8964	644682
96	9049	643973
97	9115	641960
98	9197	641142
99	9269	639575
100	9351	638786
101	9438	638315
102	9527	637953
103	9604	636837
104	9698	636835
105	9782	636200
106	9865	635553
107	9941	634443
108	10019	633437
109	10098	632503
110	10174	631434
111	10246	630130
112	10315	628718
113	10407	628620
114	10491	628135
115	10571	627365
116	10652	626687
117	10737	626243
118	10813	625257
119	10897	624811
120	10959	623041
121	11039	622366
122	11117	621611
123	11200	621082
124	11276	620226
125	11358	619664
126	11434	618819
127	11515	618245
128	11589	617273
129	11676	617039
130	11770	617203
131	11858	616989
132	11937	616352
133	12007	615253
134	12082	614407
135	12173	614423
136	12251	613741
137	12333	613262
138	12409	612531
139	12492	612128
140	12578	611893
141	12674	612147
142	12745	611140
143	12812	610035
144	12888	609305
145	12985	609626
146	13062	608939
147	13137	608235
148	13216	607712
149	13289	606894
150	13362	606086
151	13450	605997
152	13523	605202
153	13600	604592
154	13716	605751
155	13800	605470
156	13886	605257
157	13978	605340
158	14048	604455
159	14122	603735
160	14192	602885
161	14277	602634
162	14348	601832
163	14422	601155
164	14499	600638
165	14594	600830
166	14692	601162
167	14774	600813
168	14856	600499
169	14927	599747
170	15011	599490
171	15098	599365
172	15172	598731
173	15255	598478
174	15337	598146
175	15420	597906
176	15497	597385
177	15584	597289
178	15665	596943
179	15765	597352
180	15863	597631
181	15946	597386
182	16031	597199
183	16103	596539
184	16185	596256
185	16266	595902
186	16346	595552
187	16427	595224
188	16515	595182
189	16590	594643
190	16683	594744
191	16773	594777
192	16860	594676
193	16938	594227
194	17010	593605
195	17102	593711
196	17181	593329
197	17256	592819
198	17339	592581
199	17428	592579
200	17512	592380
201	17595	592156
202	17676	591855
203	17758	591600
204	17842	591417
205	17926	591231
206	18007	590948
207	18087	590639
208	18167	590308
209	18248	590043
210	18324	589596
211	18400	589160
212	18483	588968
213	18568	588810
214	18647	588470
215	18730	588281
216	18812	588032
217	18898	587949
218	18981	587748
219	19054	587222
220	19123	586606
221	19206	586399
222	19292	586291
223	19373	586052
224	19447	585580
225	19534	585505
226	19618	585358
227	19693	584924
228	19772	584623
229	19861	584618
230	19946	584496
231	20026	584215
232	20109	584043
233	20185	583665
234	20300	584386
235	20379	584111
236	20450	583585
237	20533	583394
238	20620	583317
239	20731	583936
240	20826	584099
241	20901	583674
242	20994	583793
243	21066	583303
244	21148	583104
245	21224	582719
246	21301	582379
247	21396	582547
248	21477	582301
249	21578	582621
250	21671	582719
251	21758	582631
252	21840	582447
253	21922	582243
254	22003	582002
255	22084	581789
256	22161	581469
257	22251	581466
258	22338	581404
259	22428	581408
260	22513	581298
261	22593	581047
262	22687	581163
263	22785	581379
264	22866	581163
265	22940	580768
266	23040	581026
267	23126	580917
268	23208	580742
269	23297	580709
270	23383	580618
271	23460	580293
272	23535	579933
273	23609	579557
274	23689	579326
275	23792	579631
276	23871	579369
277	23949	579095
278	24030	578892
279	24119	578861
280	24200	578659
281	24270	578187
282	24350	577956
283	24421	577512
284	24503	577346
285	24591	577306
286	24669	577027
287	24760	577054
288	24882	577818
289	24953	577380
290	25042	577360
291	25130	577314
292	25219	577297
293	25283	576700
294	25364	576494
295	25438	576150
296	25532	576243
297	25610	575985
298	25697	575911
299	25797	576149
300	25877	575914
301	25964	575854
302	26053	575843
303	26127	575482
304	26214	575432
305	26299	575313
306	26385	575244
307	26471	575145
308	26580	575572
309	26660	575344
310	26735	575018
311	26833	575194
312	26910	574923
313	26984	574577
314	27074	574583
315	27154	574369
316	27254	574575
317	27326	574193
318	27407	574011
319	27477	573596
320	27557	573394
321	27646	573357
322	27712	572866
323	27797	572763
324	27875	572529
325	27961	572430
326	28037	572157
327	28115	571903
328	28206	571932
329	28279	571590
330	28365	571500
331	28439	571192
332	28517	570948
333	28596	570740
334	28688	570765
335	28765	570514
336	28861	570632
337	28948	570576
338	29023	570278
339	29105	570131
340	29187	569973
341	29280	570018
342	29387	570357
343	29455	569933
344	29534	569711
345	29626	569752
346	29708	569602
347	29786	569373
348	29866	569173
349	29949	569035
350	30047	569198
351	30131	569071
352	30217	568998
353	30295	568763
354	30371	568498
355	30455	568381
356	30537	568244
357	30613	567980
358	30698	567875
359	30810	568286
360	30894	568163
361	30980	568098
362	31067	568035
363	31168	568225
364	31245	567980
365	31324	567779
366	31411	567719
367	31493	567576
368	31572	567369
