iter	Logloss
0	0.6568253779
5	0.5310844791
10	0.4659429547
15	0.4297735906
20	0.407871077
25	0.3951449356
30	0.3859943146
35	0.3800524873
40	0.3753450433
45	0.3722489516
50	0.3699471132
55	0.3680238055
60	0.3666437413
65	0.3655096384
70	0.3645865931
75	0.3638582612
80	0.3633048843
85	0.3628197534
90	0.3624279295
95	0.3620669416
100	0.3617388599
105	0.3614587937
110	0.3612163917
115	0.3609942564
120	0.3607177496
125	0.3604963771
130	0.3602790362
135	0.3600603513
140	0.3598452259
145	0.3596910097
150	0.3595536099
155	0.3593772382
160	0.3592282885
165	0.3591181652
170	0.3589907897
175	0.3588319245
180	0.358697394
185	0.3585979489
190	0.3584540476
195	0.3583647722
200	0.3582936933
205	0.3581916694
210	0.3580777325
215	0.3580021862
220	0.3579145089
225	0.3578072549
230	0.3577013448
235	0.357622457
240	0.3575668868
245	0.357452623
250	0.3573404295
255	0.3572308146
260	0.3571600263
265	0.3570997345
270	0.3570169604
275	0.3569727586
280	0.3568935802
285	0.3568461822
290	0.3567708174
295	0.3567157558
300	0.3566556456
305	0.3565990948
310	0.3565356432
315	0.3564396485
320	0.3563630126
325	0.3562938223
330	0.3561765439
335	0.3561402962
340	0.3560558151
345	0.3560091071
350	0.3559673024
355	0.3558639347
360	0.3558167182
365	0.3557838483
370	0.3557535571
375	0.3556874541
380	0.355647538
385	0.3556165205
390	0.3555621489
395	0.3555093391
400	0.3554727645
405	0.3554200274
410	0.3553836344
415	0.355314771
420	0.3552870949
425	0.355251392
430	0.3551864876
435	0.355139598
440	0.3550778171
445	0.3550259153
450	0.354975539
455	0.354924073
460	0.3548703552
465	0.3548042522
470	0.3547409822
475	0.3547073132
480	0.3546456776
485	0.3545773953
490	0.3545443438
495	0.3545108564
500	0.3544592815
505	0.3544069802
510	0.3543828272
515	0.354300489
520	0.3542733214
525	0.3542429576
530	0.3541896756
535	0.3541321805
540	0.354105703
545	0.3540266699
550	0.3540109795
555	0.3539845746
560	0.3539482179
565	0.353914549
570	0.3538866186
575	0.3538665335
580	0.3538148133
585	0.3537582262
590	0.3537312765
595	0.3536623768
600	0.3536224607
605	0.3535603166
610	0.3534978819
615	0.3534539706
620	0.3534328322
625	0.3534011972
630	0.3533734484
635	0.3533578307
640	0.3532864612
645	0.3532091715
650	0.3531444123
655	0.353112741
660	0.3530676311
665	0.3530392286
670	0.3529747963
675	0.3529520961
680	0.3529256185
685	0.3528902425
690	0.3528721913
695	0.3528334012
700	0.3528072142
705	0.3527819352
710	0.3527610147
715	0.3527306509
720	0.3526679257
725	0.3526485669
730	0.3526163871
735	0.3526003698
740	0.3525818101
745	0.3525656476
750	0.3525314338
755	0.3525073171
760	0.3524737934
765	0.3524549068
770	0.3524266496
775	0.3524052206
780	0.3523859345
785	0.3523457642
790	0.3523265144
795	0.352294952
800	0.35227069
805	0.3522467549
810	0.3521838844
815	0.3521583875
820	0.3521340529
825	0.3520958439
830	0.3520477557
835	0.3520092925
840	0.3519920403
845	0.3519659623
850	0.3519447512
855	0.3518925952
860	0.3518685511
865	0.3518360807
870	0.3518079325
875	0.3517907893
880	0.3517712489
885	0.3517434275
890	0.3517096859
895	0.3516967922
900	0.3516721307
905	0.3516137276
910	0.3515970565
915	0.3515555061
920	0.351512757
925	0.351496885
930	0.3514683009
935	0.3514499955
940	0.3514240627
945	0.3514072827
950	0.3513911202
955	0.3513722699
960	0.3513393637
965	0.3513298841
970	0.3513124866
975	0.3512741323
980	0.3512608754
985	0.3512076298
990	0.3511812975
995	0.35116321
1000	0.3511195529
1005	0.3511041894
1010	0.3510880632
1015	0.3510659804
1020	0.3510405199
1025	0.3510254832
1030	0.3509998774
1035	0.3509731456
1040	0.3509588717
1045	0.3509373701
1050	0.3509184835
1055	0.3509038464
1060	0.3508855772
1065	0.3508552134
1070	0.3508316779
1075	0.3507745823
1080	0.3507442911
1085	0.3507236248
1090	0.3507080797
1095	0.3506680184
1100	0.3506491681
1105	0.3506220731
1110	0.3505937796
1115	0.3505652318
1120	0.3505495414
1125	0.3505102791
1130	0.3504978212
1135	0.3504559439
1140	0.3504438129
1145	0.3504199141
