iter	Passed	Remaining
0	47	332193
1	93	325446
2	145	338808
3	190	332393
4	239	335469
5	284	331464
6	328	328311
7	374	326947
8	418	325054
9	465	325103
10	509	323679
11	558	325027
12	604	324896
13	652	325492
14	697	324913
15	741	323772
16	786	323002
17	829	321690
18	873	320764
19	918	320400
20	975	324125
21	1024	324824
22	1067	323700
23	1116	324445
24	1159	323566
25	1208	324173
26	1253	323713
27	1295	322689
28	1354	325641
29	1414	328563
30	1464	329262
31	1507	328352
32	1550	327329
33	1598	327553
34	1648	327979
35	1703	329511
36	1747	328899
37	1800	329826
38	1850	330368
39	1904	331457
40	1949	330965
41	2000	331407
42	2045	330897
43	2093	330948
44	2144	331391
45	2196	332125
46	2252	333175
47	2300	333255
48	2355	334204
49	2410	335112
50	2457	334792
51	2501	334223
52	2551	334492
53	2612	336053
54	2660	335887
55	2721	337490
56	2764	336697
57	2805	335765
58	2849	335198
59	2906	336164
60	2951	335777
61	3002	336017
62	3046	335473
63	3090	334984
64	3139	334958
65	3198	336026
66	3241	335453
67	3286	335071
68	3330	334543
69	3381	334805
70	3425	334252
71	3468	333784
72	3529	334960
73	3577	334823
74	3628	335055
75	3680	335325
76	3725	334975
77	3769	334497
78	3818	334507
79	3865	334373
80	3910	334052
81	3955	333688
82	4006	333858
83	4048	333340
84	4091	332894
85	4137	332605
86	4186	332696
87	4231	332328
88	4271	331679
89	4315	331329
90	4362	331204
91	4407	330943
92	4457	331082
93	4499	330571
94	4541	330069
95	4584	329727
96	4635	329900
97	4679	329568
98	4725	329410
99	4770	329155
100	4815	328956
101	4858	328589
102	4900	328169
103	4942	327755
104	4987	327509
105	5029	327101
106	5071	326710
107	5113	326323
108	5163	326409
109	5207	326167
110	5252	325963
111	5296	325763
112	5346	325833
113	5388	325461
114	5428	325020
115	5470	324670
116	5512	324276
117	5554	323947
118	5597	323660
119	5640	323380
120	5688	323375
121	5732	323156
122	5774	322862
123	5816	322552
124	5859	322298
125	5903	322094
126	5946	321787
127	5987	321476
128	6033	321343
129	6076	321107
130	6117	320761
131	6160	320546
132	6202	320256
133	6244	319975
134	6288	319760
135	6331	319547
136	6370	319153
137	6412	318851
138	6458	318806
139	6501	318573
140	6551	318698
141	6594	318492
142	6638	318324
143	6684	318249
144	6740	318663
145	6782	318420
146	6827	318299
147	6871	318154
148	6915	317976
149	6969	318272
150	7013	318126
151	7059	318060
152	7105	317997
153	7152	317957
154	7205	318201
155	7260	318542
156	7306	318467
157	7353	318432
158	7399	318345
159	7453	318627
160	7498	318518
161	7540	318299
162	7580	317982
163	7622	317726
164	7670	317750
165	7718	317749
166	7764	317701
167	7808	317553
168	7855	317523
169	7904	317594
170	7951	317554
171	7993	317307
172	8037	317166
173	8090	317399
174	8140	317495
175	8187	317460
176	8232	317361
177	8287	317644
178	8334	317603
179	8387	317802
180	8431	317654
181	8475	317519
182	8520	317388
183	8571	317531
184	8616	317410
185	8667	317524
186	8725	317890
187	8771	317839
188	8825	318048
189	8870	317946
190	8914	317779
191	8956	317580
192	9000	317453
193	9048	317459
194	9101	317603
195	9145	317490
196	9198	317653
197	9244	317592
198	9290	317517
199	9347	317812
200	9391	317673
201	9435	317549
202	9482	317512
203	9526	317378
204	9569	317207
205	9613	317048
206	9659	316976
207	9710	317091
208	9752	316877
209	9801	316902
210	9859	317227
211	9907	317224
212	9952	317113
213	9995	316966
214	10040	316846
215	10096	317094
216	10138	316897
217	10184	316829
218	10228	316707
219	10266	316380
220	10315	316414
221	10358	316250
222	10400	316062
223	10449	316104
224	10493	315969
225	10535	315794
226	10583	315783
227	10633	315846
228	10677	315698
229	10730	315860
230	10775	315768
231	10822	315721
232	10866	315589
233	10910	315457
234	10953	315332
235	10998	315226
236	11042	315108
237	11096	315276
238	11152	315499
239	11201	315503
240	11246	315428
241	11293	315371
242	11335	315215
243	11379	315077
244	11425	315029
245	11469	314888
246	11520	314960
247	11558	314692
248	11607	314703
249	11660	314842
250	11708	314828
251	11753	314733
252	11795	314569
253	11838	314408
254	11881	314287
255	11927	314208
256	11973	314145
257	12018	314055
258	12058	313852
259	12102	313742
260	12147	313649
261	12193	313594
262	12237	313465
263	12289	313568
264	12331	313413
265	12383	313504
266	12426	313355
267	12466	313162
268	12508	312997
269	12552	312874
270	12597	312797
271	12642	312708
272	12687	312637
273	12732	312544
274	12768	312257
275	12818	312298
276	12864	312241
277	12909	312144
278	12957	312136
279	13000	312021
280	13061	312325
281	13108	312289
282	13149	312113
283	13199	312142
284	13244	312070
285	13287	311931
286	13331	311826
287	13384	311924
288	13435	311983
289	13481	311928
290	13525	311832
291	13572	311801
292	13618	311730
293	13666	311737
294	13726	311994
295	13783	312166
296	13831	312173
297	13881	312183
298	13923	312037
299	13968	311956
300	14017	311964
301	14058	311800
302	14100	311656
303	14147	311611
304	14192	311530
305	14242	311560
306	14285	311440
307	14327	311295
308	14377	311335
309	14426	311343
310	14465	311117
311	14519	311233
312	14559	311060
